Year,Profession,HourlyRate
2020.0,Web Development,44.17
2020.0,Marketing,37.26
2020.0,Virtual Assistant,25.33
2020.0,Data Analysis,35.58
2020.0,UX/UI Design,37.9
2020.08,Graphic Design,28.23
2020.08,Writing,23.37
2020.08,Video Editing,24.63
2020.08,Voiceover,37.85
2020.08,Web Development,43.76
2020.08,Marketing,37.46
2020.08,Virtual Assistant,25.45
2020.08,Data Analysis,35.4
2020.08,UX/UI Design,37.98
2020.17,Graphic Design,28.18
2020.17,Writing,23.52
2020.17,Video Editing,24.81
2020.17,Voiceover,37.56
2020.17,Web Development,43.35
2020.17,Marketing,37.66
2020.17,Virtual Assistant,25.56
2020.17,Data Analysis,35.23
2020.17,UX/UI Design,38.07
2020.25,Graphic Design,28.12
2020.25,Writing,23.67
2020.25,Video Editing,24.99
2020.25,Voiceover,37.26
2020.25,Web Development,42.94
2020.25,Marketing,37.85
2020.25,Virtual Assistant,25.68
2020.25,Data Analysis,35.05
2020.25,UX/UI Design,38.15
2020.33,Graphic Design,28.06
2020.33,Writing,23.82
2020.33,Video Editing,25.18
2020.33,Voiceover,36.97
2020.33,Web Development,42.52
2020.33,Marketing,38.05
2020.33,Virtual Assistant,25.8
2020.33,Data Analysis,34.87
2020.33,UX/UI Design,38.24
2020.42,Graphic Design,28.0
2020.42,Writing,23.97
2020.42,Video Editing,25.36
2020.42,Voiceover,36.67
2020.42,Web Development,42.11
2020.42,Marketing,38.25
2020.42,Virtual Assistant,25.92
2020.42,Data Analysis,34.7
2020.42,UX/UI Design,38.32
2020.5,Graphic Design,27.94
2020.5,Writing,24.12
2020.5,Video Editing,25.54
2020.5,Voiceover,36.38
2020.5,Web Development,41.7
2020.5,Marketing,38.45
2020.5,Virtual Assistant,26.03
2020.5,Data Analysis,34.52
2020.5,UX/UI Design,38.4
2020.58,Graphic Design,27.89
2020.58,Writing,24.27
2020.58,Video Editing,25.72
2020.58,Voiceover,36.08
2020.58,Web Development,41.29
2020.58,Marketing,38.65
2020.58,Virtual Assistant,26.15
2020.58,Data Analysis,34.34
2020.58,UX/UI Design,38.49
2020.67,Graphic Design,27.83
2020.67,Writing,24.42
2020.67,Video Editing,25.9
2020.67,Voiceover,35.79
2020.67,Web Development,40.88
2020.67,Marketing,38.85
2020.67,Virtual Assistant,26.27
2020.67,Data Analysis,34.17
2020.67,UX/UI Design,38.57
2020.75,Graphic Design,27.77
2020.75,Writing,24.57
2020.75,Video Editing,26.08
2020.75,Voiceover,35.49
2020.75,Web Development,40.46
2020.75,Marketing,39.04
2020.75,Virtual Assistant,26.39
2020.75,Data Analysis,33.99
2020.75,UX/UI Design,38.66
2020.83,Graphic Design,27.72
2020.83,Writing,24.72
2020.83,Video Editing,26.27
2020.83,Voiceover,35.2
2020.83,Web Development,40.05
2020.83,Marketing,39.24
2020.83,Virtual Assistant,26.5
2020.83,Data Analysis,33.81
2020.83,UX/UI Design,38.74
2020.92,Graphic Design,27.66
2020.92,Writing,24.87
2020.92,Video Editing,26.45
2020.92,Voiceover,34.9
2020.92,Web Development,39.64
2020.92,Marketing,39.44
2020.92,Virtual Assistant,26.62
2020.92,Data Analysis,33.64
2020.92,UX/UI Design,38.83
2021.0,Graphic Design,27.6
2021.0,Writing,25.02
2021.0,Video Editing,26.63
2021.0,Voiceover,34.61
2021.0,Web Development,39.23
2021.0,Marketing,39.64
2021.0,Virtual Assistant,26.74
2021.0,Data Analysis,33.46
2021.0,UX/UI Design,38.91
2021.08,Graphic Design,27.9
2021.08,Writing,25.0
2021.08,Video Editing,26.63
2021.08,Voiceover,34.66
2021.08,Web Development,39.31
2021.08,Marketing,39.22
2021.08,Virtual Assistant,26.86
2021.08,Data Analysis,34.08
2021.08,UX/UI Design,39.34
2021.17,Graphic Design,28.19
2021.17,Writing,24.99
2021.17,Video Editing,26.64
2021.17,Voiceover,34.71
2021.17,Web Development,39.39
2021.17,Marketing,38.81
2021.17,Virtual Assistant,26.97
2021.17,Data Analysis,34.7
2021.17,UX/UI Design,39.76
2021.25,Graphic Design,28.49
2021.25,Writing,24.97
2021.25,Video Editing,26.64
2021.25,Voiceover,34.75
2021.25,Web Development,39.47
2021.25,Marketing,38.39
2021.25,Virtual Assistant,27.09
2021.25,Data Analysis,35.32
2021.25,UX/UI Design,40.19
2021.33,Graphic Design,28.78
2021.33,Writing,24.95
2021.33,Video Editing,26.64
2021.33,Voiceover,34.8
2021.33,Web Development,39.55
2021.33,Marketing,37.98
2021.33,Virtual Assistant,27.21
2021.33,Data Analysis,35.93
2021.33,UX/UI Design,40.62
2021.42,Graphic Design,29.08
2021.42,Writing,24.94
2021.42,Video Editing,26.64
2021.42,Voiceover,34.85
2021.42,Web Development,39.63
2021.42,Marketing,37.56
2021.42,Virtual Assistant,27.32
2021.42,Data Analysis,36.55
2021.42,UX/UI Design,41.05
2021.5,Graphic Design,29.38
2021.5,Writing,24.92
2021.5,Video Editing,26.64
2021.5,Voiceover,34.9
2021.5,Web Development,39.7
2021.5,Marketing,37.14
2021.5,Virtual Assistant,27.44
2021.5,Data Analysis,37.17
2021.5,UX/UI Design,41.47
2021.58,Graphic Design,29.67
2021.58,Writing,24.9
2021.58,Video Editing,26.65
2021.58,Voiceover,34.95
2021.58,Web Development,39.78
2021.58,Marketing,36.73
2021.58,Virtual Assistant,27.56
2021.58,Data Analysis,37.79
2021.58,UX/UI Design,41.9
2021.67,Graphic Design,29.97
2021.67,Writing,24.89
2021.67,Video Editing,26.65
2021.67,Voiceover,35.0
2021.67,Web Development,39.86
2021.67,Marketing,36.31
2021.67,Virtual Assistant,27.67
2021.67,Data Analysis,38.41
2021.67,UX/UI Design,42.33
2021.75,Graphic Design,30.26
2021.75,Writing,24.87
2021.75,Video Editing,26.65
2021.75,Voiceover,35.04
2021.75,Web Development,39.94
2021.75,Marketing,35.9
2021.75,Virtual Assistant,27.79
2021.75,Data Analysis,39.03
2021.75,UX/UI Design,42.76
2021.83,Graphic Design,30.56
2021.83,Writing,24.85
2021.83,Video Editing,26.66
2021.83,Voiceover,35.09
2021.83,Web Development,40.02
2021.83,Marketing,35.48
2021.83,Virtual Assistant,27.91
2021.83,Data Analysis,39.64
2021.83,UX/UI Design,43.18
2021.92,Graphic Design,30.85
2021.92,Writing,24.84
2021.92,Video Editing,26.66
2021.92,Voiceover,35.14
2021.92,Web Development,40.1
2021.92,Marketing,35.07
2021.92,Virtual Assistant,28.02
2021.92,Data Analysis,40.26
2021.92,UX/UI Design,43.61
2022.0,Graphic Design,31.15
2022.0,Writing,24.82
2022.0,Video Editing,26.66
2022.0,Voiceover,35.19
2022.0,Web Development,40.18
2022.0,Marketing,34.65
2022.0,Virtual Assistant,28.14
2022.0,Data Analysis,40.88
2022.0,UX/UI Design,44.04
2022.08,Graphic Design,30.95
2022.08,Writing,25.03
2022.08,Video Editing,26.92
2022.08,Voiceover,35.25
2022.08,Web Development,40.53
2022.08,Marketing,34.34
2022.08,Virtual Assistant,28.19
2022.08,Data Analysis,40.54
2022.08,UX/UI Design,43.7
2022.17,Graphic Design,30.75
2022.17,Writing,25.24
2022.17,Video Editing,27.17
2022.17,Voiceover,35.3
2022.17,Web Development,40.88
2022.17,Marketing,34.03
2022.17,Virtual Assistant,28.24
2022.17,Data Analysis,40.2
2022.17,UX/UI Design,43.37
2022.25,Graphic Design,30.55
2022.25,Writing,25.45
2022.25,Video Editing,27.43
2022.25,Voiceover,35.36
2022.25,Web Development,41.23
2022.25,Marketing,33.72
2022.25,Virtual Assistant,28.3
2022.25,Data Analysis,39.86
2022.25,UX/UI Design,43.04
2022.33,Graphic Design,30.35
2022.33,Writing,25.66
2022.33,Video Editing,27.69
2022.33,Voiceover,35.42
2022.33,Web Development,41.58
2022.33,Marketing,33.42
2022.33,Virtual Assistant,28.35
2022.33,Data Analysis,39.51
2022.33,UX/UI Design,42.7
2022.42,Graphic Design,30.15
2022.42,Writing,25.87
2022.42,Video Editing,27.94
2022.42,Voiceover,35.48
2022.42,Web Development,41.93
2022.42,Marketing,33.11
2022.42,Virtual Assistant,28.4
2022.42,Data Analysis,39.17
2022.42,UX/UI Design,42.36
2022.5,Graphic Design,29.94
2022.5,Writing,26.08
2022.5,Video Editing,28.2
2022.5,Voiceover,35.53
2022.5,Web Development,42.28
2022.5,Marketing,32.8
2022.5,Virtual Assistant,28.46
2022.5,Data Analysis,38.83
2022.5,UX/UI Design,42.03
2022.58,Graphic Design,29.74
2022.58,Writing,26.29
2022.58,Video Editing,28.46
2022.58,Voiceover,35.59
2022.58,Web Development,42.64
2022.58,Marketing,32.49
2022.58,Virtual Assistant,28.51
2022.58,Data Analysis,38.49
2022.58,UX/UI Design,41.7
2022.67,Graphic Design,29.54
2022.67,Writing,26.5
2022.67,Video Editing,28.71
2022.67,Voiceover,35.65
2022.67,Web Development,42.99
2022.67,Marketing,32.18
2022.67,Virtual Assistant,28.56
2022.67,Data Analysis,38.15
2022.67,UX/UI Design,41.36
2022.75,Graphic Design,29.34
2022.75,Writing,26.71
2022.75,Video Editing,28.97
2022.75,Voiceover,35.71
2022.75,Web Development,43.34
2022.75,Marketing,31.88
2022.75,Virtual Assistant,28.61
2022.75,Data Analysis,37.8
2022.75,UX/UI Design,41.03
2022.83,Graphic Design,29.14
2022.83,Writing,26.92
2022.83,Video Editing,29.23
2022.83,Voiceover,35.76
2022.83,Web Development,43.69
2022.83,Marketing,31.57
2022.83,Virtual Assistant,28.66
2022.83,Data Analysis,37.46
2022.83,UX/UI Design,40.69
2022.92,Graphic Design,28.94
2022.92,Writing,27.13
2022.92,Video Editing,29.48
2022.92,Voiceover,35.82
2022.92,Web Development,44.04
2022.92,Marketing,31.26
2022.92,Virtual Assistant,28.72
2022.92,Data Analysis,37.12
2022.92,UX/UI Design,40.36
2023.0,Graphic Design,28.74
2023.0,Writing,27.34
2023.0,Video Editing,29.74
2023.0,Voiceover,35.88
2023.0,Web Development,44.39
2023.0,Marketing,30.95
2023.0,Virtual Assistant,28.77
2023.0,Data Analysis,36.78
2023.0,UX/UI Design,40.02
2023.08,Graphic Design,29.39
2023.08,Writing,27.94
2023.08,Video Editing,30.07
2023.08,Voiceover,35.6
2023.08,Web Development,44.44
2023.08,Marketing,31.73
2023.08,Virtual Assistant,28.51
2023.08,Data Analysis,36.92
2023.08,UX/UI Design,40.04
2023.17,Graphic Design,30.04
2023.17,Writing,28.55
2023.17,Video Editing,30.41
2023.17,Voiceover,35.31
2023.17,Web Development,44.5
2023.17,Marketing,32.5
2023.17,Virtual Assistant,28.26
2023.17,Data Analysis,37.05
2023.17,UX/UI Design,40.06
2023.25,Graphic Design,30.69
2023.25,Writing,29.15
2023.25,Video Editing,30.74
2023.25,Voiceover,35.03
2023.25,Web Development,44.55
2023.25,Marketing,33.28
2023.25,Virtual Assistant,28.0
2023.25,Data Analysis,37.19
2023.25,UX/UI Design,40.08
2023.33,Graphic Design,31.34
2023.33,Writing,29.75
2023.33,Video Editing,31.08
2023.33,Voiceover,34.74
2023.33,Web Development,44.6
2023.33,Marketing,34.06
2023.33,Virtual Assistant,27.74
2023.33,Data Analysis,37.32
2023.33,UX/UI Design,40.11
2023.42,Graphic Design,31.99
2023.42,Writing,30.36
2023.42,Video Editing,31.41
2023.42,Voiceover,34.46
2023.42,Web Development,44.65
2023.42,Marketing,34.83
2023.42,Virtual Assistant,27.49
2023.42,Data Analysis,37.46
2023.42,UX/UI Design,40.13
2023.5,Graphic Design,32.64
2023.5,Writing,30.96
2023.5,Video Editing,31.74
2023.5,Voiceover,34.17
2023.5,Web Development,44.7
2023.5,Marketing,35.61
2023.5,Virtual Assistant,27.23
2023.5,Data Analysis,37.6
2023.5,UX/UI Design,40.15
2023.58,Graphic Design,33.3
2023.58,Writing,31.56
2023.58,Video Editing,32.08
2023.58,Voiceover,33.88
2023.58,Web Development,44.76
2023.58,Marketing,36.39
2023.58,Virtual Assistant,26.97
2023.58,Data Analysis,37.73
2023.58,UX/UI Design,40.17
2023.67,Graphic Design,33.95
2023.67,Writing,32.17
2023.67,Video Editing,32.41
2023.67,Voiceover,33.6
2023.67,Web Development,44.81
2023.67,Marketing,37.16
2023.67,Virtual Assistant,26.72
2023.67,Data Analysis,37.87
2023.67,UX/UI Design,40.19
2023.75,Graphic Design,34.6
2023.75,Writing,32.77
2023.75,Video Editing,32.75
2023.75,Voiceover,33.32
2023.75,Web Development,44.86
2023.75,Marketing,37.94
2023.75,Virtual Assistant,26.46
2023.75,Data Analysis,38.0
2023.75,UX/UI Design,40.22
2023.83,Graphic Design,35.25
2023.83,Writing,33.37
2023.83,Video Editing,33.08
2023.83,Voiceover,33.03
2023.83,Web Development,44.92
2023.83,Marketing,38.72
2023.83,Virtual Assistant,26.2
2023.83,Data Analysis,38.14
2023.83,UX/UI Design,40.24
2023.92,Graphic Design,35.9
2023.92,Writing,33.98
2023.92,Video Editing,33.42
2023.92,Voiceover,32.75
2023.92,Web Development,44.97
2023.92,Marketing,39.49
2023.92,Virtual Assistant,25.95
2023.92,Data Analysis,38.27
2023.92,UX/UI Design,40.26
2024.0,Graphic Design,36.55
2024.0,Writing,34.58
2024.0,Video Editing,33.75
2024.0,Voiceover,32.46
2024.0,Web Development,45.02
2024.0,Marketing,40.27
2024.0,Virtual Assistant,25.69
2024.0,Data Analysis,38.41
2024.0,UX/UI Design,40.28
2024.08,Graphic Design,36.12
2024.08,Writing,34.16
2024.08,Video Editing,33.85
2024.08,Voiceover,32.71
2024.08,Web Development,45.0
2024.08,Marketing,40.58
2024.08,Virtual Assistant,25.87
2024.08,Data Analysis,38.62
2024.08,UX/UI Design,40.54
2024.17,Graphic Design,35.68
2024.17,Writing,33.73
2024.17,Video Editing,33.96
2024.17,Voiceover,32.96
2024.17,Web Development,44.98
2024.17,Marketing,40.9
2024.17,Virtual Assistant,26.05
2024.17,Data Analysis,38.84
2024.17,UX/UI Design,40.8
2024.25,Graphic Design,35.25
2024.25,Writing,33.31
2024.25,Video Editing,34.06
2024.25,Voiceover,33.21
2024.25,Web Development,44.96
2024.25,Marketing,41.21
2024.25,Virtual Assistant,26.23
2024.25,Data Analysis,39.05
2024.25,UX/UI Design,41.06
2024.33,Graphic Design,34.82
2024.33,Writing,32.88
2024.33,Video Editing,34.16
2024.33,Voiceover,33.46
2024.33,Web Development,44.94
2024.33,Marketing,41.52
2024.33,Virtual Assistant,26.41
2024.33,Data Analysis,39.26
2024.33,UX/UI Design,41.32
2024.42,Graphic Design,34.39
2024.42,Writing,32.46
2024.42,Video Editing,34.27
2024.42,Voiceover,33.71
2024.42,Web Development,44.92
2024.42,Marketing,41.84
2024.42,Virtual Assistant,26.59
2024.42,Data Analysis,39.48
2024.42,UX/UI Design,41.58
2024.5,Graphic Design,33.96
2024.5,Writing,32.03
2024.5,Video Editing,34.37
2024.5,Voiceover,33.96
2024.5,Web Development,44.9
2024.5,Marketing,42.15
2024.5,Virtual Assistant,26.76
2024.5,Data Analysis,39.69
2024.5,UX/UI Design,41.84
2024.58,Graphic Design,33.52
2024.58,Writing,31.61
2024.58,Video Editing,34.47
2024.58,Voiceover,34.21
2024.58,Web Development,44.89
2024.58,Marketing,42.46
2024.58,Virtual Assistant,26.94
2024.58,Data Analysis,39.9
2024.58,UX/UI Design,42.11
2024.67,Graphic Design,33.09
2024.67,Writing,31.19
2024.67,Video Editing,34.58
2024.67,Voiceover,34.46
2024.67,Web Development,44.87
2024.67,Marketing,42.78
2024.67,Virtual Assistant,27.12
2024.67,Data Analysis,40.12
2024.67,UX/UI Design,42.37
2024.75,Graphic Design,32.66
2024.75,Writing,30.76
2024.75,Video Editing,34.68
2024.75,Voiceover,34.71
2024.75,Web Development,44.85
2024.75,Marketing,43.09
2024.75,Virtual Assistant,27.3
2024.75,Data Analysis,40.33
2024.75,UX/UI Design,42.63
2024.83,Graphic Design,32.22
2024.83,Writing,30.34
2024.83,Video Editing,34.78
2024.83,Voiceover,34.96
2024.83,Web Development,44.83
2024.83,Marketing,43.4
2024.83,Virtual Assistant,27.48
2024.83,Data Analysis,40.54
2024.83,UX/UI Design,42.89
2024.92,Graphic Design,31.79
2024.92,Writing,29.91
2024.92,Video Editing,34.89
2024.92,Voiceover,35.21
2024.92,Web Development,44.81
2024.92,Marketing,43.72
2024.92,Virtual Assistant,27.66
2024.92,Data Analysis,40.76
2024.92,UX/UI Design,43.15
2025.0,Graphic Design,31.36
2025.0,Writing,29.49
2025.0,Video Editing,34.99
2025.0,Voiceover,35.46
2025.0,Web Development,44.79
2025.0,Marketing,44.03
2025.0,Virtual Assistant,27.84
2025.0,Data Analysis,40.97
2025.0,UX/UI Design,43.41
